,Unnamed: 0,id,job,original_name,popularity,air_date,episode_number,Title,overview,runtime,season_number,vote_average,list_of_characters,list_of_popularity,title_len,holiday_episode,sentiment
0,0,85979,"['Director', 'Writer', 'Writer', 'Director of Photography', 'Editor']","['James Burrows', 'Jeff Greenstein', 'Jeff Strauss', 'Richard Hissong', 'Andy Zall']","[5.803, 1.251, 0.84, 1.094, 1.62]",1994-11-17,9.0,The One Where Underdog Gets Away,Monica's first Thanksgiving dinner for the gang goes horribly wrong when they all run to the rooftop to see the runaway Underdog balloon from the parade.,23.0,1.0,8.043,"['Terry', 'Susan Bunch', 'Carol Willick', 'Gunther']","[10.213, 24.725, 14.38, 8.622]",32,0,-0.16666666666666666
1,1,85981,"['Director', 'Director of Photography', 'Editor', 'Art Direction', 'Casting', 'Costume Design', 'Set Decoration']","['James Burrows', 'Richard Hissong', 'Andy Zall', 'John Shaffner', 'Ellie Kanner', 'Debra McGuire', 'Greg J. Grande']","[5.803, 1.094, 1.62, 4.742, 1.548, 3.805, 1.021]",1994-10-06,3.0,The One with the Thumb,Monica finds it difficult to break up with her latest boyfriend whom everyone likes; Chandler is reunited with his beloved cigarettes; Phoebe receives a large sum of money.,23.0,1.0,8.13,"['Lizzy', 'Paula', 'Alan', 'Gunther']","[15.354, 8.906, 3.175, 8.622]",22,0,0.22857142857142856
2,2,85983,"['Director', 'Writer', 'Director of Photography', 'Editor', 'Art Direction', 'Casting', 'Costume Design', 'Set Decoration']","['James Burrows', 'Alexa Junge', 'Richard Hissong', 'Andy Zall', 'John Shaffner', 'Ellie Kanner', 'Debra McGuire', 'Greg J. Grande']","[5.803, 1.388, 1.094, 1.62, 4.742, 1.548, 3.805, 1.021]",1994-10-13,4.0,The One with George Stephanopoulos,"While the men attend a hockey game and end up at a hospital, a delivery man accidentally brings a pizza meant for George Stephanopoulos, who lives across the street from the girls; they decide to peek at the former White House advisor with their binoculars.",23.0,1.0,7.84,"['Nurse Sizemore', 'Joanne', 'Leslie', 'Pizza Guy', 'Bratty Boy', 'Kiki', 'Gunther']","[8.008, 12.244, 2.11, 12.757, 0.6, 3.074, 8.622]",34,0,-0.13333333333333333
3,3,85987,"['Writer', 'Writer', 'Director', 'Executive Producer', 'Editor', 'Director of Photography', 'Art Direction', 'Editor', 'Costume Design', 'Editor', 'Set Decoration', 'Executive Producer']","['Marta Kauffman', 'David Crane', 'James Burrows', 'David Crane', 'Andy Zall', 'Ken Lamkin', 'John Shaffner', 'Stephen Prime', 'Debra McGuire', 'David Helfand', 'Greg J. Grande', 'Kevin S. Bright']","[5.777, 3.76, 5.803, 1.368, 1.62, 1.686, 4.742, 0.6, 3.805, 0.98, 1.021, 1.519]",1994-09-22,1.0,Pilot,"An introduction to the gang. After Rachel leaves her fiancé at the altar, she moves in with Monica and finds that independence is not so easy, particularly without Daddy's credit cards.",23.0,1.0,7.081,"['Paul', 'Franny', 'Jasmine']","[10.864, 6.415, 5.117]",5,0,0.3
4,4,85990,"['Writer', 'Writer', 'Director', 'Director of Photography', 'Editor']","['Marta Kauffman', 'David Crane', 'James Burrows', 'Richard Hissong', 'Andy Zall']","[5.777, 3.76, 5.803, 1.094, 1.62]",1994-11-10,8.0,The One Where Nana Dies Twice,"Monica and Ross mourn the death of their grandmother with a little help from the gang, and Monica and her mom come to an unspoken understanding about the relationship between mothers and daughters. Meanwhile, Chandler is irritated by office speculation that he is gay.",23.0,1.0,7.837,"['Aunt Lillian', 'Lowell', 'Shelley', 'Jack Geller', 'Judy Geller', 'Andrea']","[5.247, 3.111, 2.242, 21.466, 13.696, 12.274]",29,0,0.11458333333333334
5,5,86012,"['Writer', 'Writer', 'Director', 'Director of Photography', 'Editor', 'Art Direction', 'Casting', 'Costume Design', 'Set Decoration']","['Marta Kauffman', 'David Crane', 'James Burrows', 'Richard Hissong', 'Andy Zall', 'John Shaffner', 'Ellie Kanner', 'Debra McGuire', 'Greg J. Grande']","[5.777, 3.76, 5.803, 1.094, 1.62, 4.742, 1.548, 3.805, 1.021]",1994-09-29,2.0,The One with the Sonogram at the End,"Ross's lesbian ex-wife, Carol, is pregnant with his child, and he doesn't like her choice of last name for the baby. Rachel finds out that her ex-fiancé went on what would have been their honeymoon with her maid of honor.",23.0,1.0,7.333,"['Carol Willick', 'Dr. Oberman', 'Robbie', 'Marsha', 'Barry Farber', 'Jack Geller', 'Susan Bunch', 'Judy Geller', 'Gunther']","[6.936, 5.236, 2.572, 1.67, 8.424, 21.466, 24.725, 13.696, 8.622]",36,0,0.16666666666666666
6,6,86017,"['Writer', 'Director', 'Director of Photography', 'Editor', 'Writer']","['Adam Chase', 'Arlene Sanford', 'Richard Hissong', 'Andy Zall', 'Ira Ungerleider']","[2.15, 1.96, 1.094, 1.62, 2.744]",1994-10-27,6.0,The One with the Butt,Joey gets his big film break when he's hired to be Al Pacino's stunt butt. Ross tries to be less conservative and Chandler thinks his fantasies have come true when he has an affair with a married woman.,21.0,1.0,7.7,['Aurora'],[16.239],21,0,0.06666666666666667
7,7,86027,"['Director', 'Director of Photography', 'Editor', 'Writer', 'Writer']","['James Burrows', 'Richard Hissong', 'Andy Zall', 'Mike Sikowitz', 'Jeff Astrof']","[5.803, 1.094, 1.62, 1.691, 2.917]",1994-11-03,7.0,The One with the Blackout,"A power outage leaves Chandler stranded in an ATM vestibule with Victoria's Secret model Jill Goodacre, whom he desperately tries to impress, Ross tries to ask Rachel out on a date, and Joey learns that Monica used to be infatuated with him.",23.0,1.0,8.469,"['Jill Goodacre', 'Mr. Heckles', 'Paolo']","[3.887, 11.908, 5.583]",25,1,-0.2
8,8,86034,"['Writer', 'Writer', 'Director', 'Director of Photography', 'Editor']","['Jeff Greenstein', 'Jeff Strauss', 'Pamela Fryman', 'Richard Hissong', 'Andy Zall']","[1.251, 0.84, 3.296, 1.094, 1.62]",1994-10-20,5.0,The One with the East German Laundry Detergent,"While Chandler and Phoebe decide to break up with their significant others on the same night, Ross helps Rachel do laundry and considers the evening a first date. Joey has Monica pose as his new girlfriend, because he wants to get back with the girl he just dumped.",23.0,1.0,8.041,"['Horrible Woman', 'Angela', 'Bob', 'Janice', 'Gunther']","[2.936, 6.447, 3.756, 19.494, 8.622]",46,0,0.16022727272727275
9,9,86043,"['Writer', 'Director', 'Director of Photography', 'Editor']","['Adam Chase', 'Peter Bonerz', 'Richard Hissong', 'Andy Zall']","[2.15, 3.859, 1.094, 1.62]",1994-12-15,10.0,The One with the Monkey,"The gang makes--then breaks--a pact to celebrate New Year's Eve without dates. Ross compensates for his loneliness by getting a roommate, a monkey named Marcel.",23.0,1.0,8.0,"['Fun Bobby', 'David', 'Max', 'Sandy', 'Janice', 'Gunther']","[5.29, 34.073, 3.478, 1.96, 19.494, 8.622]",23,0,0.043181818181818175
10,10,86048,"['Writer', 'Director', 'Director of Photography', 'Editor']","['Bill Lawrence', 'James Burrows', 'Richard Hissong', 'Andy Zall']","[4.865, 5.803, 1.094, 1.62]",1995-02-09,14.0,The One with the Candy Hearts,"Ross's first date in nine years is on Valentine's Day with a beautiful neighbor. Susan and Carol, also out on a romantic date; end up at the same restaurant. Joey sets Chandler up on a blind date. And Phoebe, Rachel and Monica decide to spend the holiday building a boyfriend bonfire in their apartment.",23.0,1.0,8.1,"['Lorraine', 'Fireman Ed', 'Fireman Dave', 'Fireman Charlie', 'Kristen', 'Janice', 'Susan Bunch', 'Carol Willick']","[4.397, 5.644, 5.016, 6.08, 3.69, 19.494, 24.725, 14.38]",29,0,0.12000000000000002
11,11,86060,"['Director', 'Director of Photography', 'Editor']","['Peter Bonerz', 'Richard Hissong', 'Andy Zall']","[3.859, 1.094, 1.62]",1995-03-09,19.0,The One Where the Monkey Gets Away,"The gang searches frantically for Marcel, who slipped out of the apartment while Rachel was baby-sitting him. Just as it looks as though Rachel and Ross might actually spend a romantic evening together, her ex-fiancé barges in and declares his love for her.",23.0,1.0,8.119,"['Mr. Heckles', 'Barry Farber', 'Luisa Gianetti', 'Samantha', 'Tia', 'Gunther']","[11.908, 8.424, 9.874, 4.732, 2.618, 8.622]",34,0,0.16666666666666666
12,12,86066,"['Director', 'Writer', 'Director of Photography', 'Editor']","['James Burrows', 'Alexa Junge', 'Richard Hissong', 'Andy Zall']","[5.803, 1.388, 1.094, 1.62]",1995-01-05,11.0,The One with Mrs. Bing,"Chandler's romance-novelist mother comes to New York to visit him, and Joey catches her and Ross kissing.",23.0,1.0,7.978,"['Nora Bing', 'Jay Leno', 'Paolo', 'Coma Guy', 'Gunther']","[47.058, 7.795, 5.583, 1.619, 8.622]",22,1,0.13636363636363635
