id,job,original_name,popularity
2639442,Director,Kevin S. Bright,1.519
85987,Writer,Marta Kauffman,5.777
85987,Writer,David Crane,3.76
85987,Director,James Burrows,5.803
85987,Executive Producer,David Crane,1.368
85987,Editor,Andy Zall,1.62
85987,Director of Photography,Ken Lamkin,1.686
85987,Art Direction,John Shaffner,4.742
85987,Editor,Stephen Prime,0.6
85987,Costume Design,Debra McGuire,3.805
85987,Editor,David Helfand,0.98
85987,Set Decoration,Greg J. Grande,1.021
85987,Executive Producer,Kevin S. Bright,1.519
86012,Writer,Marta Kauffman,5.777
86012,Writer,David Crane,3.76
86012,Director,James Burrows,5.803
86012,Director of Photography,Richard Hissong,1.094
86012,Editor,Andy Zall,1.62
86012,Art Direction,John Shaffner,4.742
86012,Casting,Ellie Kanner,1.548
86012,Costume Design,Debra McGuire,3.805
86012,Set Decoration,Greg J. Grande,1.021
85981,Director,James Burrows,5.803
85981,Director of Photography,Richard Hissong,1.094
85981,Editor,Andy Zall,1.62
85981,Art Direction,John Shaffner,4.742
85981,Casting,Ellie Kanner,1.548
85981,Costume Design,Debra McGuire,3.805
85981,Set Decoration,Greg J. Grande,1.021
85983,Director,James Burrows,5.803
85983,Writer,Alexa Junge,1.388
85983,Director of Photography,Richard Hissong,1.094
85983,Editor,Andy Zall,1.62
85983,Art Direction,John Shaffner,4.742
85983,Casting,Ellie Kanner,1.548
85983,Costume Design,Debra McGuire,3.805
85983,Set Decoration,Greg J. Grande,1.021
86034,Writer,Jeff Greenstein,1.251
86034,Writer,Jeff Strauss,0.84
86034,Director,Pamela Fryman,3.296
86034,Director of Photography,Richard Hissong,1.094
86034,Editor,Andy Zall,1.62
86017,Writer,Adam Chase,2.15
86017,Director,Arlene Sanford,1.96
86017,Director of Photography,Richard Hissong,1.094
86017,Editor,Andy Zall,1.62
86017,Writer,Ira Ungerleider,2.744
86027,Director,James Burrows,5.803
86027,Director of Photography,Richard Hissong,1.094
86027,Editor,Andy Zall,1.62
86027,Writer,Mike Sikowitz,1.691
86027,Writer,Jeff Astrof,2.917
85990,Writer,Marta Kauffman,5.777
85990,Writer,David Crane,3.76
85990,Director,James Burrows,5.803
85990,Director of Photography,Richard Hissong,1.094
85990,Editor,Andy Zall,1.62
85979,Director,James Burrows,5.803
85979,Writer,Jeff Greenstein,1.251
85979,Writer,Jeff Strauss,0.84
85979,Director of Photography,Richard Hissong,1.094
85979,Editor,Andy Zall,1.62
86043,Writer,Adam Chase,2.15
86043,Director,Peter Bonerz,3.859
86043,Director of Photography,Richard Hissong,1.094
86043,Editor,Andy Zall,1.62
86066,Director,James Burrows,5.803
86066,Writer,Alexa Junge,1.388
86066,Director of Photography,Richard Hissong,1.094
86066,Editor,Andy Zall,1.62
86090,Writer,Adam Chase,2.15
86090,Director of Photography,Richard Hissong,1.094
86090,Editor,Andy Zall,1.62
86090,Writer,Ira Ungerleider,2.744
86090,Writer,Mike Sikowitz,1.691
86090,Writer,Jeff Astrof,2.917
86090,Director,Paul Lazarus,1.899
86077,Director,Alan Myerson,2.466
86077,Writer,Alexa Junge,1.388
86077,Director of Photography,Richard Hissong,1.094
86077,Editor,Andy Zall,1.62
86048,Writer,Bill Lawrence,4.865
86048,Director,James Burrows,5.803
86048,Director of Photography,Richard Hissong,1.094
86048,Editor,Andy Zall,1.62
86068,Director,Alan Myerson,2.466
86068,Writer,Jeff Greenstein,1.251
86068,Director of Photography,Richard Hissong,1.094
86068,Editor,Andy Zall,1.62
86067,Writer,Marta Kauffman,5.777
86067,Director,Michael Lembeck,6.644
86067,Writer,David Crane,3.76
86067,Director of Photography,Richard Hissong,1.094
86067,Editor,Andy Zall,1.62
86072,Writer,Marta Kauffman,5.777
