,id,job,original_name,popularity,air_date,episode_number,name,overview,runtime,season_number,vote_average,list_of_characters,average_character_popularity
0,85979,"['Director', 'Writer', 'Writer', 'Director of Photography', 'Editor']","['James Burrows', 'Jeff Greenstein', 'Jeff Strauss', 'Richard Hissong', 'Andy Zall']","[5.803, 1.251, 0.84, 1.094, 1.62]",1994-11-17,9.0,The One Where Underdog Gets Away,Monica's first Thanksgiving dinner for the gang goes horribly wrong when they all run to the rooftop to see the runaway Underdog balloon from the parade.,23.0,1.0,8.043,"['Terry', 'Susan Bunch', 'Carol Willick', 'Gunther']",14.485
1,85981,"['Director', 'Director of Photography', 'Editor', 'Art Direction', 'Casting', 'Costume Design', 'Set Decoration']","['James Burrows', 'Richard Hissong', 'Andy Zall', 'John Shaffner', 'Ellie Kanner', 'Debra McGuire', 'Greg J. Grande']","[5.803, 1.094, 1.62, 4.742, 1.548, 3.805, 1.021]",1994-10-06,3.0,The One with the Thumb,Monica finds it difficult to break up with her latest boyfriend whom everyone likes; Chandler is reunited with his beloved cigarettes; Phoebe receives a large sum of money.,23.0,1.0,8.13,"['Lizzy', 'Paula', 'Alan', 'Gunther']",9.01425
2,85983,"['Director', 'Writer', 'Director of Photography', 'Editor', 'Art Direction', 'Casting', 'Costume Design', 'Set Decoration']","['James Burrows', 'Alexa Junge', 'Richard Hissong', 'Andy Zall', 'John Shaffner', 'Ellie Kanner', 'Debra McGuire', 'Greg J. Grande']","[5.803, 1.388, 1.094, 1.62, 4.742, 1.548, 3.805, 1.021]",1994-10-13,4.0,The One with George Stephanopoulos,"While the men attend a hockey game and end up at a hospital, a delivery man accidentally brings a pizza meant for George Stephanopoulos, who lives across the street from the girls; they decide to peek at the former White House advisor with their binoculars.",23.0,1.0,7.84,"['Nurse Sizemore', 'Joanne', 'Leslie', 'Pizza Guy', 'Bratty Boy', 'Kiki', 'Gunther']",6.773571428571429
3,85987,"['Writer', 'Writer', 'Director', 'Executive Producer', 'Editor', 'Director of Photography', 'Art Direction', 'Editor', 'Costume Design', 'Editor', 'Set Decoration', 'Executive Producer']","['Marta Kauffman', 'David Crane', 'James Burrows', 'David Crane', 'Andy Zall', 'Ken Lamkin', 'John Shaffner', 'Stephen Prime', 'Debra McGuire', 'David Helfand', 'Greg J. Grande', 'Kevin S. Bright']","[5.777, 3.76, 5.803, 1.368, 1.62, 1.686, 4.742, 0.6, 3.805, 0.98, 1.021, 1.519]",1994-09-22,1.0,Pilot,"An introduction to the gang. After Rachel leaves her fiancé at the altar, she moves in with Monica and finds that independence is not so easy, particularly without Daddy's credit cards.",23.0,1.0,7.081,"['Paul', 'Franny', 'Jasmine']",7.465333333333334
4,85990,"['Writer', 'Writer', 'Director', 'Director of Photography', 'Editor']","['Marta Kauffman', 'David Crane', 'James Burrows', 'Richard Hissong', 'Andy Zall']","[5.777, 3.76, 5.803, 1.094, 1.62]",1994-11-10,8.0,The One Where Nana Dies Twice,"Monica and Ross mourn the death of their grandmother with a little help from the gang, and Monica and her mom come to an unspoken understanding about the relationship between mothers and daughters. Meanwhile, Chandler is irritated by office speculation that he is gay.",23.0,1.0,7.837,"['Aunt Lillian', 'Lowell', 'Shelley', 'Jack Geller', 'Judy Geller', 'Andrea']",9.672666666666666
5,86012,"['Writer', 'Writer', 'Director', 'Director of Photography', 'Editor', 'Art Direction', 'Casting', 'Costume Design', 'Set Decoration']","['Marta Kauffman', 'David Crane', 'James Burrows', 'Richard Hissong', 'Andy Zall', 'John Shaffner', 'Ellie Kanner', 'Debra McGuire', 'Greg J. Grande']","[5.777, 3.76, 5.803, 1.094, 1.62, 4.742, 1.548, 3.805, 1.021]",1994-09-29,2.0,The One with the Sonogram at the End,"Ross's lesbian ex-wife, Carol, is pregnant with his child, and he doesn't like her choice of last name for the baby. Rachel finds out that her ex-fiancé went on what would have been their honeymoon with her maid of honor.",23.0,1.0,7.333,"['Carol Willick', 'Dr. Oberman', 'Robbie', 'Marsha', 'Barry Farber', 'Jack Geller', 'Susan Bunch', 'Judy Geller', 'Gunther']",10.37188888888889
6,86017,"['Writer', 'Director', 'Director of Photography', 'Editor', 'Writer']","['Adam Chase', 'Arlene Sanford', 'Richard Hissong', 'Andy Zall', 'Ira Ungerleider']","[2.15, 1.96, 1.094, 1.62, 2.744]",1994-10-27,6.0,The One with the Butt,Joey gets his big film break when he's hired to be Al Pacino's stunt butt. Ross tries to be less conservative and Chandler thinks his fantasies have come true when he has an affair with a married woman.,21.0,1.0,7.7,['Aurora'],16.239
7,86027,"['Director', 'Director of Photography', 'Editor', 'Writer', 'Writer']","['James Burrows', 'Richard Hissong', 'Andy Zall', 'Mike Sikowitz', 'Jeff Astrof']","[5.803, 1.094, 1.62, 1.691, 2.917]",1994-11-03,7.0,The One with the Blackout,"A power outage leaves Chandler stranded in an ATM vestibule with Victoria's Secret model Jill Goodacre, whom he desperately tries to impress, Ross tries to ask Rachel out on a date, and Joey learns that Monica used to be infatuated with him.",23.0,1.0,8.469,"['Jill Goodacre', 'Mr. Heckles', 'Paolo']",7.126
8,86034,"['Writer', 'Writer', 'Director', 'Director of Photography', 'Editor']","['Jeff Greenstein', 'Jeff Strauss', 'Pamela Fryman', 'Richard Hissong', 'Andy Zall']","[1.251, 0.84, 3.296, 1.094, 1.62]",1994-10-20,5.0,The One with the East German Laundry Detergent,"While Chandler and Phoebe decide to break up with their significant others on the same night, Ross helps Rachel do laundry and considers the evening a first date. Joey has Monica pose as his new girlfriend, because he wants to get back with the girl he just dumped.",23.0,1.0,8.041,"['Horrible Woman', 'Angela', 'Bob', 'Janice', 'Gunther']",8.251
9,86043,"['Writer', 'Director', 'Director of Photography', 'Editor']","['Adam Chase', 'Peter Bonerz', 'Richard Hissong', 'Andy Zall']","[2.15, 3.859, 1.094, 1.62]",1994-12-15,10.0,The One with the Monkey,"The gang makes--then breaks--a pact to celebrate New Year's Eve without dates. Ross compensates for his loneliness by getting a roommate, a monkey named Marcel.",23.0,1.0,8.0,"['Fun Bobby', 'David', 'Max', 'Sandy', 'Janice', 'Gunther']",12.152833333333334
