id,air_date,episode_number,name,overview,runtime,season_number,vote_average,list_of_characters,average_character_popularity
85987,1994-09-22,1,Pilot,"An introduction to the gang. After Rachel leaves her fiancé at the altar, she moves in with Monica and finds that independence is not so easy, particularly without Daddy's credit cards.",23,1,7.081,"['Paul', 'Franny', 'Jasmine']",7.465333333333334
86012,1994-09-29,2,The One with the Sonogram at the End,"Ross's lesbian ex-wife, Carol, is pregnant with his child, and he doesn't like her choice of last name for the baby. Rachel finds out that her ex-fiancé went on what would have been their honeymoon with her maid of honor.",23,1,7.333,"['Carol Willick', 'Dr. Oberman', 'Robbie', 'Marsha', 'Barry Farber', 'Jack Geller', 'Susan Bunch', 'Judy Geller', 'Gunther']",10.37188888888889
85981,1994-10-06,3,The One with the Thumb,Monica finds it difficult to break up with her latest boyfriend whom everyone likes; Chandler is reunited with his beloved cigarettes; Phoebe receives a large sum of money.,23,1,8.13,"['Lizzy', 'Paula', 'Alan', 'Gunther']",9.01425
85983,1994-10-13,4,The One with George Stephanopoulos,"While the men attend a hockey game and end up at a hospital, a delivery man accidentally brings a pizza meant for George Stephanopoulos, who lives across the street from the girls; they decide to peek at the former White House advisor with their binoculars.",23,1,7.84,"['Nurse Sizemore', 'Joanne', 'Leslie', 'Pizza Guy', 'Bratty Boy', 'Kiki', 'Gunther']",6.773571428571429
86034,1994-10-20,5,The One with the East German Laundry Detergent,"While Chandler and Phoebe decide to break up with their significant others on the same night, Ross helps Rachel do laundry and considers the evening a first date. Joey has Monica pose as his new girlfriend, because he wants to get back with the girl he just dumped.",23,1,8.041,"['Horrible Woman', 'Angela', 'Bob', 'Janice', 'Gunther']",8.251
86017,1994-10-27,6,The One with the Butt,Joey gets his big film break when he's hired to be Al Pacino's stunt butt. Ross tries to be less conservative and Chandler thinks his fantasies have come true when he has an affair with a married woman.,21,1,7.7,['Aurora'],16.239
86027,1994-11-03,7,The One with the Blackout,"A power outage leaves Chandler stranded in an ATM vestibule with Victoria's Secret model Jill Goodacre, whom he desperately tries to impress, Ross tries to ask Rachel out on a date, and Joey learns that Monica used to be infatuated with him.",23,1,8.469,"['Jill Goodacre', 'Mr. Heckles', 'Paolo']",7.126
85990,1994-11-10,8,The One Where Nana Dies Twice,"Monica and Ross mourn the death of their grandmother with a little help from the gang, and Monica and her mom come to an unspoken understanding about the relationship between mothers and daughters. Meanwhile, Chandler is irritated by office speculation that he is gay.",23,1,7.837,"['Aunt Lillian', 'Lowell', 'Shelley', 'Jack Geller', 'Judy Geller', 'Andrea']",9.672666666666666
85979,1994-11-17,9,The One Where Underdog Gets Away,Monica's first Thanksgiving dinner for the gang goes horribly wrong when they all run to the rooftop to see the runaway Underdog balloon from the parade.,23,1,8.043,"['Terry', 'Susan Bunch', 'Carol Willick', 'Gunther']",14.485000000000001
86043,1994-12-15,10,The One with the Monkey,"The gang makes--then breaks--a pact to celebrate New Year's Eve without dates. Ross compensates for his loneliness by getting a roommate, a monkey named Marcel.",23,1,8.0,"['Fun Bobby', 'David', 'Max', 'Sandy', 'Janice', 'Gunther']",12.152833333333334
86066,1995-01-05,11,The One with Mrs. Bing,"Chandler's romance-novelist mother comes to New York to visit him, and Joey catches her and Ross kissing.",23,1,7.978,"['Nora Bing', 'Jay Leno', 'Paolo', 'Coma Guy', 'Gunther']",14.135399999999999
86090,1995-01-12,12,The One with the Dozen Lasagnas,"Everyone knows the sex of Ross's baby, except for Ross, who doesn't want to find out until it's born. Monica gives Paolo one of the dozen lasagnas she made for her aunt, who doesn't want them anymore because they've got meat in them.",23,1,7.826,"['Paolo', 'Roger', 'Jasmine', 'Susan Bunch', 'Carol Willick', 'Gunther']",14.628166666666667
86077,1995-01-19,13,The One with the Boobies,"Chandler accidentally sees Rachel wandering around topless after her shower, so Rachel tries to even the score. And no one can stand Phoebe's new boyfriend, an irritating guy named Roger.",23,1,8.283,"['Gloria Tribianni', 'Ronni', 'Joey Tribianni Sr.', 'Roger']",17.868000000000002
86048,1995-02-09,14,The One with the Candy Hearts,"Ross's first date in nine years is on Valentine's Day with a beautiful neighbor. Susan and Carol, also out on a romantic date; end up at the same restaurant. Joey sets Chandler up on a blind date. And Phoebe, Rachel and Monica decide to spend the holiday building a boyfriend bonfire in their apartment.",23,1,8.1,"['Lorraine', 'Fireman Ed', 'Fireman Dave', 'Fireman Charlie', 'Kristen', 'Janice', 'Susan Bunch', 'Carol Willick']",10.42825
86068,1995-02-16,15,The One with the Stoned Guy,"Monica cooks a gourmet meal for a restaurateur looking for a new chef but, unfortunately, he's stoned. After working as a data processing permanent temp for five years, Chandler gets promoted. And Ross has a date with a beautiful colleague.",23,1,8.182,"['Celia', 'Steve', 'Ms. Tedlock', 'Mr. Douglas', 'Gunther']",8.533199999999999
86067,1995-02-23,16,The One with Two Parts (1),"Joey falls for Phoebe's twin sister, Ursula, making Phoebe feel neglected. Ross has doubts about parenthood when he attends Lamaze classes with Carol and Susan. Meanwhile, Chandler finds himself between a rock and a hard place, when he is told to fire an employee he is attracted to.",23,1,7.841,"['Mr. Heckles', 'Nina Bookbinder', 'Jamie Buchman', 'Lamaze Teacher', 'Fran Devanow', 'Mr. Douglas', 'Susan Bunch', 'Carol Willick', 'Gunther']",14.331000000000001
86072,1995-02-23,17,The One with Two Parts (2),"When Rachel sprains her ankle and has no insurance, she cajoles Monica into trading identities so she can use Monica's coverage. When Phoebe's twin sister, Ursula, breaks Joey's heart, Phoebe tries to fix it.",23,1,8.256,"['Michael Mitchell', 'Jeffrey Rosen', 'Admissions Nurse', 'Jack Geller', 'Gunther']",17.064799999999998
86086,1995-03-02,18,The One with All the Poker,"Tired of being referred to by customers as ""Excuse me"" Rachel interviews for a job as an assistant buyer at Saks Fifth Avenue. She also sees another side of the usually docile Ross when the girls face the boys during a not-so-friendly game of poker.",23,1,8.5,"['Aunt Iris', 'Gunther']",8.6195
86060,1995-03-09,19,The One Where the Monkey Gets Away,"The gang searches frantically for Marcel, who slipped out of the apartment while Rachel was baby-sitting him. Just as it looks as though Rachel and Ross might actually spend a romantic evening together, her ex-fiancé barges in and declares his love for her.",23,1,8.119,"['Mr. Heckles', 'Barry Farber', 'Luisa Gianetti', 'Samantha', 'Tia', 'Gunther']",7.696333333333333
86091,1995-04-06,20,The One with the Evil Orthodontist,"Rachel and Barry start dating again, which is kind of awkward since he's now engaged to Mindy, who wants Rachel to be her maid of honor. Meanwhile, Chandler goes nuts when a woman he likes won't return his phone calls.",23,1,8.0,"['Mindy', 'Barry Farber', 'Danielle', 'Bobby', 'Gunther']",8.5778
86093,1995-04-27,21,The One with the Fake Monica,"When Monica's credit card is stolen, she, along with Phoebe and Rachel, decide to catch the thief. Joey enlists his friends to help him come up with a less ethnic-sounding stage name. And  Ross finds out that Marcel has reached sexual maturity and needs to be with other monkeys.",23,1,7.881,"['Dr. Baldharar', 'Fake Monica', 'Teacher', 'Judy Geller', 'Gunther']",6.4732
86094,1995-05-04,22,The One with the Ick Factor,"After losing his virginity to her, Monica's boyfriend reveals that he's a high school senior. When Phoebe temps as Chandler's secretary, she finds out a secret.",23,1,8.119,"['Ethan', 'Gunther']",5.9544999999999995
86092,1995-05-11,23,The One with the Birth,"As Monica's biological clock ticks away like a time bomb, Carol goes into labor. Ross, Susan and Phoebe end up getting locked in a closet just as Carol's about to give birth to the baby. And Rachel flirts with an OB/GYN.",23,1,8.3,"['Roy', 'Dr. Franzblau', 'Lydia', 'Nurse', 'Janitor', 'Susan Bunch', 'Carol Willick']",12.178285714285716
